,ynn,ynn_timeseries,red,sparsity,closest
0,0.19999999999999996,0.8,120,295,1221
1,0.6,0.8,168,301,1224
2,0.19999999999999996,0.8,105,318,1224
3,0.19999999999999996,0.8,234,593,1223
4,0.19999999999999996,0.8,137,390,1224
5,0.6,0.8,16,43,1224
6,0.6,0.8,18,44,1224
7,0.3999999999999999,0.8,52,119,1224
8,0.3999999999999999,0.8,15,21,1224
9,0.6,0.8,238,462,1224
10,0.19999999999999996,0.8,76,307,1224
11,0.19999999999999996,0.8,188,637,1224
12,0.19999999999999996,0.8,54,93,1224
13,0.19999999999999996,0.8,39,187,1224
14,0.19999999999999996,0.8,82,192,1224
15,0.3999999999999999,0.8,142,275,1224
16,0.3999999999999999,0.8,83,475,1224
17,0.19999999999999996,0.8,143,464,1224
18,0.19999999999999996,0.8,128,292,1220
19,0.19999999999999996,0.8,191,514,1224
20,0.19999999999999996,0.8,851,1203,1224
21,0.19999999999999996,0.8,916,1197,1224
22,0.19999999999999996,0.8,749,1193,1224
23,0.19999999999999996,0.8,675,1206,1224
24,0.19999999999999996,0.8,859,1190,1224
25,0.6,0.8,943,1104,1224
26,0.3999999999999999,0.8,741,1175,1224
27,0.8,0.8,772,1023,1224
28,0.3999999999999999,0.8,969,1132,1224
29,0.6,0.8,876,1172,1224
30,0.19999999999999996,0.8,897,1194,1224
31,0.19999999999999996,0.8,577,1214,1224
32,0.19999999999999996,0.8,892,1091,1224
33,0.3999999999999999,0.8,821,1160,1224
34,0.3999999999999999,0.8,978,1122,1224
35,0.19999999999999996,0.8,784,1204,1224
36,0.19999999999999996,0.8,518,1214,1224
37,0.19999999999999996,0.8,507,1208,1224
38,0.19999999999999996,0.8,645,1223,1224
39,0.19999999999999996,0.8,768,1213,1224
40,0.3999999999999999,0.8,55,268,1224
41,0.19999999999999996,0.8,113,302,1224
42,0.3999999999999999,0.8,138,354,1224
43,0.19999999999999996,0.8,189,724,1224
44,0.19999999999999996,0.8,139,393,1224
45,0.6,0.8,44,74,1224
46,0.3999999999999999,0.8,256,267,1224
47,0.3999999999999999,0.8,79,171,1224
48,0.3999999999999999,0.8,28,52,1224
49,0.6,0.8,372,575,1224
50,0.19999999999999996,0.8,206,450,1224
51,0.19999999999999996,0.8,376,633,1224
52,0.19999999999999996,0.8,219,300,1224
53,0.19999999999999996,0.8,140,400,1224
54,0.19999999999999996,0.8,102,281,1224
55,0.19999999999999996,0.8,143,344,1224
56,0.19999999999999996,0.8,188,500,1224
57,0.19999999999999996,0.8,152,551,1224
58,0.19999999999999996,0.8,137,346,1224
59,0.19999999999999996,0.8,290,773,1224
60,0.19999999999999996,0.8,166,414,1224
61,0.8,0.8,526,812,1224
62,0.19999999999999996,0.8,807,914,1224
63,0.19999999999999996,0.8,805,1119,1224
64,0.19999999999999996,0.8,740,1085,1224
65,0.6,0.8,6,9,1224
66,0.3999999999999999,0.8,208,264,1224
67,0.6,0.8,45,127,1224
68,0.3999999999999999,0.8,13,28,1224
69,0.19999999999999996,0.8,419,771,1215
70,0.19999999999999996,0.8,749,997,1224
71,0.3999999999999999,0.8,521,1105,1224
72,0.19999999999999996,0.8,184,280,1224
73,0.19999999999999996,0.8,774,934,1224
74,0.19999999999999996,0.8,140,197,1224
75,0.19999999999999996,0.8,740,1061,1224
76,0.19999999999999996,0.8,344,765,1209
77,0.19999999999999996,0.8,393,779,1224
78,0.19999999999999996,0.8,794,1170,1222
79,0.19999999999999996,0.8,723,1178,1224
